
wavelength,intensity
3.311874390e+02,2.099507255e-03
3.312966919e+02,-2.481235890e-03
3.314059753e+02,-1.986020477e-03
3.315152283e+02,4.075210891e-04
3.316245117e+02,-1.181295258e-03
3.317337952e+02,1.186453810e-04
3.318430786e+02,9.233705350e-04
3.319523926e+02,-8.717856253e-04
3.320616760e+02,3.399448004e-03
3.321709900e+02,7.897655480e-03
3.322803040e+02,-8.924196009e-04
3.323896179e+02,1.459853956e-03
3.324989624e+02,3.249851579e-04
3.326082764e+02,2.285213210e-03
3.327176208e+02,3.440716071e-03
3.328269653e+02,3.662531381e-04
3.329363098e+02,-6.448118365e-04
3.330456543e+02,-1.222563209e-03
3.331549988e+02,1.294782152e-03
3.332643738e+02,-1.490804949e-03
3.333737488e+02,5.772355478e-03
3.334831238e+02,-1.263831160e-03
3.335924988e+02,1.005906495e-03
3.337018738e+02,1.707461779e-03
3.338112793e+02,-2.734002192e-04
3.339206543e+02,1.851899666e-03
3.340300598e+02,2.388383029e-03
3.341394653e+02,-1.387635130e-03
3.342488708e+02,-2.527662436e-04
3.343583069e+02,-2.068556380e-03
3.344677124e+02,2.883598674e-03
3.345771484e+02,8.991256356e-03
3.346865845e+02,2.553454833e-03
3.347960205e+02,-3.559361503e-04
3.349054871e+02,-8.305176743e-04
3.350149231e+02,-1.552706934e-03
3.351243896e+02,2.842330607e-03
3.352338562e+02,-1.284465194e-03
3.353433228e+02,5.313249421e-04
3.354527893e+02,-1.119393390e-03
3.355622864e+02,4.658120684e-03
3.356717529e+02,5.106909666e-04
3.357812500e+02,2.450285014e-03
3.358907471e+02,1.129710348e-03
3.360002441e+02,-3.146681702e-04
3.361097412e+02,5.674344357e-05
3.362192688e+02,7.737742271e-05
3.363287964e+02,-8.924196009e-04
3.364383240e+02,1.645559794e-03
3.365478516e+02,-7.686156896e-04
3.366573792e+02,1.624925877e-03
3.367669067e+02,2.011812903e-04
3.368764648e+02,-1.800314640e-03
3.369860229e+02,1.356684137e-03
3.370955811e+02,5.674344357e-05
3.372051392e+02,1.336050103e-03
3.373146973e+02,-6.654458120e-04
3.374242859e+02,-2.501870040e-03
3.375338745e+02,-1.289623760e-04
3.376434326e+02,1.563023892e-03
3.377530518e+02,-2.543137874e-03
3.378626404e+02,2.594722901e-03
3.379722290e+02,-1.908643026e-04
3.380818481e+02,-3.559361503e-04
3.381914673e+02,2.615356818e-03
3.383010864e+02,1.728095696e-03
3.384107056e+02,1.599133393e-04
3.385203247e+02,-1.408269047e-03
3.386299744e+02,5.313249421e-04
3.387395935e+02,-1.986020477e-03
3.388492432e+02,-9.543215274e-04
3.389588928e+02,2.630832314e-04
3.390685730e+02,-1.532072900e-03
3.391782227e+02,1.810631715e-03
3.392879028e+02,-1.367001096e-03
3.393975525e+02,-1.924118493e-03
3.395072327e+02,8.202006575e-04
3.396169434e+02,-1.676510787e-03
3.397266235e+02,1.005906495e-03
3.398363037e+02,-2.047922462e-03
3.399460144e+02,8.408346330e-04
3.400557251e+02,1.583657926e-03
3.401654358e+02,1.955069602e-03
3.402751465e+02,1.232880284e-03
3.403848877e+02,2.635990735e-03
3.404945984e+02,-2.233628184e-03
3.406043396e+02,-2.378066070e-03
3.407140808e+02,-1.222563209e-03
3.408238220e+02,3.193108365e-03
3.409335938e+02,1.232880284e-03
3.410433350e+02,4.487890401e-04
3.411531067e+02,-1.243197243e-03
3.412628784e+02,3.249851579e-04
3.413726501e+02,-9.749555029e-04
3.414824219e+02,-2.336798236e-03
3.415921936e+02,-8.717856253e-04
3.417019958e+02,2.264579292e-03
3.418117981e+02,1.047174446e-03
3.419215698e+02,1.439220039e-03
3.420314026e+02,-1.036857488e-03
3.421412048e+02,-3.559361503e-04
3.422510071e+02,-1.593974885e-03
3.423608398e+02,1.253514201e-03
3.424706726e+02,1.294782152e-03
3.425805054e+02,-3.972041013e-04
3.426903381e+02,-1.800314640e-03
3.428001709e+02,-1.160661341e-03
3.429100342e+02,-3.353021457e-04
3.430198975e+02,-1.862216624e-03
3.431297607e+02,-1.635242836e-03
3.432396240e+02,-1.800314640e-03
3.433494873e+02,-3.972041013e-04
3.434593506e+02,-7.479817141e-04
3.435692444e+02,-1.243197243e-03
3.436791382e+02,-1.511438983e-03
3.437890320e+02,1.547548345e-05
3.438989258e+02,-1.552706934e-03
3.440088196e+02,5.106909666e-04
3.441187439e+02,6.757628289e-04
3.442286377e+02,1.186453810e-04
3.443385620e+02,-3.559361503e-04
3.444484863e+02,-1.222563209e-03
3.445584412e+02,2.011812903e-04
3.446683655e+02,-2.770111663e-03
3.447783203e+02,-1.325733145e-03
3.448882446e+02,-1.717778738e-03
3.449981995e+02,5.674344357e-05
3.451081543e+02,1.501122024e-03
3.452181396e+02,-3.353021457e-04
3.453280945e+02,2.424492559e-04
3.454380798e+02,-8.305176743e-04
3.455480652e+02,1.067808364e-03
3.456580505e+02,-1.181295258e-03
3.457680359e+02,-2.114982781e-04
3.458780212e+02,9.233705350e-04
3.459880371e+02,-7.479817141e-04
3.460980225e+02,1.186453810e-04
3.462080383e+02,1.624925877e-03
3.463180542e+02,1.191612333e-03
3.464281006e+02,-2.398699988e-03
3.465381165e+02,1.088442397e-03
3.466481628e+02,-5.003740080e-04
3.467581787e+02,1.191612333e-03
3.468682251e+02,-1.036857488e-03
3.469782715e+02,1.253514201e-03
3.470883484e+02,3.110572230e-03
3.471983948e+02,8.821025840e-04
3.473084717e+02,3.255010117e-03
3.474185486e+02,3.296278184e-03
3.475286255e+02,-1.083283933e-04
3.476387024e+02,1.810631715e-03
3.477487793e+02,-1.841582591e-03
3.478588867e+02,-5.210079835e-04
3.479689941e+02,-1.346367178e-03
3.480791016e+02,7.789327065e-04
3.481892090e+02,-6.654458120e-04
